level,word,definition,example
A2,arrive,to reach a place,They arrive at six oclock.
A2,borrow,to take something and return it later,Can I borrow your pen?
A2,choose,to pick one thing,Please choose a color.
A2,decide,to make a choice,We decide to go home.
A2,enough,as much as needed,We have enough food.
A2,expensive,costing a lot of money,This phone is expensive.
A2,holiday,a time away from work or school,We go to the beach on holiday.
A2,important,needing attention or care,This test is important.
A2,invite,to ask someone to come,She will invite her friend.
A2,journey,a trip from one place to another,The journey takes two hours.
A2,kind,nice and helpful,He is kind to everyone.
A2,language,words used by people to speak,English is a useful language.
A2,market,a place where people buy and sell food,My mother goes to the market.
A2,noise,a loud or unpleasant sound,There is a noise outside.
A2,plan,an idea for what to do,We have a plan for Sunday.
A2,quiet,with little sound,The library is quiet.
A2,remember,to keep something in your mind,I remember your name.
A2,spend,to use money or time,They spend money on books.
A2,together,with another person or people,We study together after class.
A2,weather,the condition of the sky and air,The weather is warm today.
